x0000,y0000
1.47e-05,96722,
1.475e-05,96450,
1.48e-05,96252,
1.485e-05,96576,
1.49e-05,96672,
1.495e-05,95967,
1.5e-05,96221,
1.505e-05,96290,
1.51e-05,96302,
1.515e-05,96474,
1.52e-05,96502,
1.525e-05,96305,
1.53e-05,96038,
1.535e-05,96060,
1.54e-05,96416,
1.545e-05,95821,
1.55e-05,96947,
1.555e-05,96323,
1.56e-05,96755,
1.565e-05,97119,
1.57e-05,96261,
1.575e-05,93274,
1.58e-05,28888,
1.585e-05,2163,
1.59e-05,504,
1.595e-05,335,
1.6e-05,2680,
1.605e-05,58547,
1.61e-05,94436,
1.615e-05,96346,
1.62e-05,95318,
1.625e-05,94982,
1.63e-05,93654,
1.635e-05,94170,
1.64e-05,93753,
1.645e-05,93571,
1.65e-05,93650,
1.655e-05,93101,
1.66e-05,93086,
1.665e-05,93481,
1.67e-05,92934,
1.675e-05,92919,
1.68e-05,92990,
1.685e-05,93065,
1.69e-05,93263,
1.695e-05,93213,
1.7e-05,93047,
1.705e-05,93779,
1.71e-05,93298,
1.715e-05,93541,
1.72e-05,94128,
1.725e-05,93801,
1.73e-05,94744,
1.735e-05,94597,
1.74e-05,94277,
1.745e-05,94328,
1.75e-05,94328,
1.755e-05,94944,
1.76e-05,95150,
1.765e-05,94606,
1.77e-05,95251,
1.775e-05,94879,
1.78e-05,95542,
1.785e-05,95111,
1.79e-05,95195,
1.795e-05,94674,
1.8e-05,95595,
1.805e-05,95641,
1.81e-05,96144,
1.815e-05,95954,
1.82e-05,95268,
1.825e-05,95330,
1.83e-05,96154,
1.835e-05,95449,
1.84e-05,95295,
1.845e-05,95284,
1.85e-05,96410,
1.855e-05,95589,
1.86e-05,96118,
1.865e-05,95462,
1.87e-05,95834,
1.875e-05,95695,
1.88e-05,95585,
1.885e-05,96172,
1.89e-05,96309,
1.895e-05,95821,
1.9e-05,95807,
1.905e-05,95757,
1.91e-05,96106,
1.915e-05,96158,
1.92e-05,95987,
1.925e-05,96551,
1.93e-05,95940,
1.935e-05,96527,
1.94e-05,96697,
1.945e-05,96105,
1.95e-05,95581,
1.955e-05,96695,
1.96e-05,96138,
1.965e-05,95982,
1.97e-05,96556,
1.975e-05,95958,
1.98e-05,96339,
1.985e-05,96148,
1.99e-05,96380,
1.995e-05,96756,
2e-05,96345,
2.005e-05,96317,
2.01e-05,96559,
2.015e-05,96446,
2.02e-05,96583,
2.025e-05,95991,
2.03e-05,96280,
2.035e-05,96256,
2.04e-05,96638,
2.045e-05,96279,
2.05e-05,97138,
2.055e-05,96696,
2.06e-05,96473,
2.065e-05,96867,
2.07e-05,96646,
2.075e-05,96731,
2.08e-05,96538,
2.085e-05,96759,
2.09e-05,96243,
2.095e-05,96650,
2.1e-05,93041,
2.105e-05,28765,
2.11e-05,2280,
2.115e-05,551,
2.12e-05,318,
2.125e-05,351,
2.13e-05,45831,
2.135e-05,90628,
2.14e-05,96883,
2.145e-05,94450,
2.15e-05,95485,
2.155e-05,94247,
2.16e-05,93991,
2.165e-05,94233,
2.17e-05,94145,
2.175e-05,93448,
2.18e-05,92940,
2.185e-05,93035,
2.19e-05,93702,
2.195e-05,93320,
2.2e-05,93071,
2.205e-05,92827,
2.21e-05,93066,
2.215e-05,93179,
2.22e-05,93980,
2.225e-05,92927,
2.23e-05,93689,
2.235e-05,93526,
2.24e-05,93993,
2.245e-05,94612,
2.25e-05,93787,
2.255e-05,94704,
2.26e-05,94454,
2.265e-05,94842,
2.27e-05,94322,
2.275e-05,94487,
2.28e-05,95281,
2.285e-05,94931,
2.29e-05,94906,
2.295e-05,94878,
2.3e-05,96021,
2.305e-05,94982,
2.31e-05,95626,
2.315e-05,95293,
2.32e-05,95560,
2.325e-05,95608,
2.33e-05,95421,
2.335e-05,95565,
2.34e-05,95548,
2.345e-05,95084,
2.35e-05,95962,
2.355e-05,95653,
2.36e-05,95962,
2.365e-05,95413,
2.37e-05,95632,
2.375e-05,96281,
