x0000,y0000
2.95e-05,10440,
2.96e-05,10203,
2.97e-05,10275,
2.98e-05,10094,
2.99e-05,10248,
3e-05,10369,
3.01e-05,10014,
3.02e-05,10299,
3.03e-05,10278,
3.04e-05,10201,
3.05e-05,10300,
3.06e-05,10152,
3.07e-05,10232,
3.08e-05,10365,
3.09e-05,10244,
3.1e-05,10237,
3.11e-05,10267,
3.12e-05,10296,
3.13e-05,10359,
3.14e-05,10142,
3.15e-05,10208,
3.16e-05,10229,
3.17e-05,10304,
3.18e-05,10361,
3.19e-05,10093,
3.2e-05,10228,
3.21e-05,10203,
3.22e-05,10268,
3.23e-05,10100,
3.24e-05,10219,
3.25e-05,10092,
3.26e-05,10277,
3.27e-05,10205,
3.28e-05,10209,
3.29e-05,10338,
3.3e-05,10153,
3.31e-05,10262,
3.32e-05,10184,
3.33e-05,10195,
3.34e-05,9959,
3.35e-05,10330,
3.36e-05,10241,
3.37e-05,10209,
3.38e-05,10395,
3.39e-05,10327,
3.4e-05,10381,
3.41e-05,10257,
3.42e-05,10034,
3.43e-05,10229,
3.44e-05,10213,
3.45e-05,10294,
3.46e-05,10211,
3.47e-05,10301,
3.48e-05,10071,
3.49e-05,10257,
3.5e-05,10334,
3.51e-05,10183,
3.52e-05,10218,
3.53e-05,10457,
3.54e-05,10309,
3.55e-05,10225,
3.56e-05,10356,
3.57e-05,10327,
3.58e-05,10221,
3.59e-05,10247,
3.6e-05,10125,
3.61e-05,10291,
3.62e-05,10275,
3.63e-05,10225,
3.64e-05,10277,
3.65e-05,10177,
3.66e-05,10245,
3.67e-05,10190,
3.68e-05,10049,
3.69e-05,10169,
3.7e-05,10252,
3.71e-05,10056,
3.72e-05,10167,
3.73e-05,10130,
3.74e-05,10387,
3.75e-05,10084,
3.76e-05,10385,
3.77e-05,10017,
3.78e-05,10233,
3.79e-05,10253,
3.8e-05,10297,
3.81e-05,10269,
3.82e-05,10427,
3.83e-05,10218,
3.84e-05,10352,
3.85e-05,10181,
3.86e-05,10550,
3.87e-05,10161,
3.88e-05,10068,
3.89e-05,10369,
3.9e-05,10194,
3.91e-05,10273,
3.92e-05,10163,
3.93e-05,10133,
3.94e-05,10290,
3.95e-05,10171,
3.96e-05,10314,
3.97e-05,10121,
3.98e-05,10308,
3.99e-05,10339,
4e-05,10373,
4.01e-05,10190,
4.02e-05,10314,
4.03e-05,10277,
4.04e-05,10229,
4.05e-05,10278,
4.06e-05,10185,
4.07e-05,10257,
4.08e-05,10100,
4.09e-05,10262,
4.1e-05,10170,
4.11e-05,10253,
4.12e-05,10178,
4.13e-05,10277,
4.14e-05,10234,
4.15e-05,10288,
4.16e-05,10282,
4.17e-05,10201,
4.18e-05,10246,
4.19e-05,10290,
4.2e-05,10435,
4.21e-05,10194,
4.22e-05,10306,
4.23e-05,10160,
4.24e-05,10144,
4.25e-05,10296,
4.26e-05,10153,
4.27e-05,10395,
4.28e-05,10197,
4.29e-05,10069,
4.3e-05,10294,
4.31e-05,10266,
4.32e-05,10309,
4.33e-05,10201,
4.34e-05,10315,
4.35e-05,10203,
4.36e-05,10341,
4.37e-05,10339,
4.38e-05,10085,
4.39e-05,10276,
4.4e-05,10200,
4.41e-05,10137,
4.42e-05,10256,
4.43e-05,9997,
4.44e-05,10174,
4.45e-05,10098,
4.46e-05,10177,
4.47e-05,10144,
4.48e-05,10268,
4.49e-05,10253,
4.5e-05,10240,
4.51e-05,10262,
4.52e-05,10373,
4.53e-05,10197,
4.54e-05,10036,
4.55e-05,10164,
4.56e-05,10194,
4.57e-05,10223,
4.58e-05,10247,
4.59e-05,10367,
4.6e-05,10427,
4.61e-05,10157,
4.62e-05,10265,
4.63e-05,10399,
4.64e-05,10247,
4.65e-05,10178,
4.66e-05,10230,
4.67e-05,10084,
4.68e-05,10027,
4.69e-05,10126,
4.7e-05,10312,
4.71e-05,10218,
4.72e-05,10176,
4.73e-05,10206,
4.74e-05,10204,
4.75e-05,10248,
4.76e-05,10263,
4.77e-05,10391,
4.78e-05,10368,
4.79e-05,10281,
4.8e-05,10186,
4.81e-05,10230,
4.82e-05,10353,
4.83e-05,10132,
4.84e-05,10218,
4.85e-05,10247,
4.86e-05,10337,
4.87e-05,10491,
4.88e-05,10067,
4.89e-05,10253,
4.9e-05,10191,
4.91e-05,10314,
4.92e-05,10234,
4.93e-05,10263,
4.94e-05,10363,
4.95e-05,10245,
4.96e-05,10260,
4.97e-05,9976,
4.98e-05,10003,
4.99e-05,10243,
5e-05,10105,
5.01e-05,10292,
5.02e-05,10200,
5.03e-05,10225,
5.04e-05,10392,
5.05e-05,10245,
5.06e-05,10129,
5.07e-05,10265,
5.08e-05,10068,
5.09e-05,10256,
