x0000,y0000
3.03e-07,16537,
3.04e-07,16547,
3.05e-07,16391,
3.06e-07,16346,
3.07e-07,16410,
3.08e-07,16691,
3.09e-07,16361,
3.1e-07,16566,
3.11e-07,16496,
3.12e-07,16513,
3.13e-07,16245,
3.14e-07,16226,
3.15e-07,16425,
3.16e-07,16253,
3.17e-07,16488,
3.18e-07,16308,
3.19e-07,16379,
3.2e-07,16032,
3.21e-07,16134,
3.22e-07,16305,
3.23e-07,16260,
3.24e-07,16525,
3.25e-07,16453,
3.26e-07,16503,
3.27e-07,16328,
3.28e-07,16223,
3.29e-07,16103,
3.3e-07,16216,
3.31e-07,16419,
3.32e-07,16096,
3.33e-07,16262,
3.34e-07,16483,
3.35e-07,16389,
3.36e-07,16362,
3.37e-07,16273,
3.38e-07,16201,
3.39e-07,16161,
3.4e-07,16015,
3.41e-07,15912,
3.42e-07,16028,
3.43e-07,16124,
3.44e-07,16045,
3.45e-07,16202,
3.46e-07,16263,
3.47e-07,16046,
3.48e-07,16179,
3.49e-07,15946,
3.5e-07,16147,
3.51e-07,16188,
3.52e-07,15955,
3.53e-07,16151,
3.54e-07,15975,
3.55e-07,16196,
3.56e-07,16185,
3.57e-07,16207,
3.58e-07,16232,
3.59e-07,15984,
3.6e-07,16055,
3.61e-07,16262,
3.62e-07,16090,
3.63e-07,15977,
3.64e-07,16061,
3.65e-07,16287,
3.66e-07,15830,
3.67e-07,15822,
3.68e-07,15979,
3.69e-07,16161,
3.7e-07,16111,
3.71e-07,16248,
3.72e-07,16030,
3.73e-07,16365,
3.74e-07,16242,
3.75e-07,16226,
3.76e-07,16212,
3.77e-07,16281,
3.78e-07,16081,
3.79e-07,16156,
3.8e-07,16203,
3.81e-07,16186,
3.82e-07,16116,
3.83e-07,16044,
3.84e-07,15995,
3.85e-07,15954,
3.86e-07,15932,
3.87e-07,16046,
3.88e-07,16139,
3.89e-07,16155,
3.9e-07,16231,
3.91e-07,16357,
3.92e-07,16326,
3.93e-07,15980,
3.94e-07,16019,
3.95e-07,16270,
3.96e-07,16350,
3.97e-07,15898,
3.98e-07,16123,
3.99e-07,16294,
4e-07,16093,
4.01e-07,16054,
4.02e-07,16277,
4.03e-07,16099,
4.04e-07,16206,
4.05e-07,16345,
4.06e-07,16218,
4.07e-07,16286,
4.08e-07,16283,
4.09e-07,15975,
4.1e-07,16064,
4.11e-07,16012,
4.12e-07,15888,
4.13e-07,16205,
4.14e-07,16139,
4.15e-07,16069,
4.16e-07,16239,
4.17e-07,16313,
4.18e-07,16082,
4.19e-07,16000,
4.2e-07,16263,
4.21e-07,16214,
4.22e-07,16058,
4.23e-07,16094,
4.24e-07,16117,
4.25e-07,16161,
4.26e-07,16054,
4.27e-07,15998,
4.28e-07,16043,
4.29e-07,16149,
4.3e-07,16093,
4.31e-07,15879,
4.32e-07,16069,
4.33e-07,16415,
4.34e-07,16011,
4.35e-07,16171,
4.36e-07,16217,
4.37e-07,15968,
4.38e-07,15968,
4.39e-07,16054,
4.4e-07,16152,
4.41e-07,15910,
4.42e-07,16083,
