x0000,y0000
2.95e-05,4147,
2.96e-05,4078,
2.97e-05,4058,
2.98e-05,4031,
2.99e-05,4060,
3e-05,4161,
3.01e-05,4205,
3.02e-05,4027,
3.03e-05,4049,
3.04e-05,4127,
3.05e-05,4074,
3.06e-05,4127,
3.07e-05,4106,
3.08e-05,4113,
3.09e-05,4104,
3.1e-05,4141,
3.11e-05,4088,
3.12e-05,4073,
3.13e-05,4087,
3.14e-05,4085,
3.15e-05,4092,
3.16e-05,4081,
3.17e-05,4031,
3.18e-05,4115,
3.19e-05,4083,
3.2e-05,3975,
3.21e-05,4027,
3.22e-05,4257,
3.23e-05,4056,
3.24e-05,4105,
3.25e-05,4038,
3.26e-05,4079,
3.27e-05,4195,
3.28e-05,4019,
3.29e-05,4081,
3.3e-05,4117,
3.31e-05,4186,
3.32e-05,3951,
3.33e-05,4100,
3.34e-05,3922,
3.35e-05,4094,
3.36e-05,4056,
3.37e-05,4149,
3.38e-05,4102,
3.39e-05,4024,
3.4e-05,4076,
3.41e-05,4077,
3.42e-05,3981,
3.43e-05,4123,
3.44e-05,4204,
3.45e-05,4073,
3.46e-05,4053,
3.47e-05,4128,
3.48e-05,4006,
3.49e-05,4029,
3.5e-05,4081,
3.51e-05,4163,
3.52e-05,4073,
3.53e-05,4087,
3.54e-05,3932,
3.55e-05,4076,
3.56e-05,4039,
3.57e-05,4193,
3.58e-05,4143,
3.59e-05,4125,
3.6e-05,4102,
3.61e-05,4007,
3.62e-05,4031,
3.63e-05,4075,
3.64e-05,4099,
3.65e-05,4057,
3.66e-05,4020,
3.67e-05,4131,
3.68e-05,4066,
3.69e-05,3950,
3.7e-05,4073,
3.71e-05,4227,
3.72e-05,4167,
3.73e-05,4080,
3.74e-05,4057,
3.75e-05,4133,
3.76e-05,4067,
3.77e-05,4045,
3.78e-05,4010,
3.79e-05,4040,
3.8e-05,4071,
3.81e-05,4107,
3.82e-05,3989,
3.83e-05,4012,
3.84e-05,4096,
3.85e-05,4172,
3.86e-05,3970,
3.87e-05,4229,
3.88e-05,4027,
3.89e-05,4055,
