x0000,y0000
0.000254,206326.208,
0.000255,206326.6505,
0.000256,206326.3162,
0.000257,206326.6832,
0.000258,206326.475,
0.000259,206326.5471,
0.00026,206326.6357,
0.000261,206326.7893,
0.000262,206326.8565,
0.000263,206326.8273,
0.000264,206326.837,
0.000265,206327.1439,
0.000266,206327.3521,
0.000267,206326.9992,
0.000268,206327.3724,
0.000269,206327.0186,
0.00027,206327.7117,
0.000271,206327.0713,
0.000272,206327.755,
0.000273,206328.156,
0.000274,206327.8619,
0.000275,206327.8454,
0.000276,206328.2338,
0.000277,206328.2735,
0.000278,206328.1442,
0.000279,206328.5534,
0.00028,206328.319,
0.000281,206328.5694,
0.000282,206328.8689,
0.000283,206328.5544,
0.000284,206328.5587,
0.000285,206329.1658,
0.000286,206329.0317,
0.000287,206328.7758,
0.000288,206328.9185,
0.000289,206329.2359,
0.00029,206329.3887,
0.000291,206329.3515,
0.000292,206329.0694,
0.000293,206329.5032,
0.000294,206329.5349,
0.000295,206329.2867,
0.000296,206329.4972,
0.000297,206329.3429,
0.000298,206329.1299,
0.000299,206329.7993,
0.0003,181799.2537,
0.000301,202045.7247,
0.000302,206290.9937,
0.000303,206310.2321,
0.000304,206311.0793,
0.000305,206310.0297,
0.000306,206309.9852,
0.000307,206310.1144,
0.000308,206311.3516,
0.000309,206311.8264,
0.00031,206312.2139,
0.000311,206313.0686,
0.000312,206314.0844,
0.000313,206314.2562,
0.000314,206315.1567,
0.000315,206315.4077,
0.000316,206315.7193,
0.000317,206315.6393,
0.000318,206316.3411,
0.000319,206316.8011,
0.00032,206316.8367,
0.000321,206317.0731,
0.000322,206317.496,
0.000323,206317.6309,
0.000324,206317.7126,
0.000325,206318.0865,
0.000326,206317.968,
0.000327,206318.6907,
0.000328,206318.4562,
0.000329,206319.328,
0.00033,206319.5923,
0.000331,206319.5668,
0.000332,206319.5974,
0.000333,206320.3609,
0.000334,206320.3728,
0.000335,206320.1361,
0.000336,206320.6419,
0.000337,206320.4288,
0.000338,206321.0702,
0.000339,206321.4058,
0.00034,206321.4578,
0.000341,206321.6229,
0.000342,206321.8562,
0.000343,206321.7984,
0.000344,206322.4291,
0.000345,206322.6939,
0.000346,206322.7386,
0.000347,206322.6116,
0.000348,206322.9063,
0.000349,206322.7314,
0.00035,206323.1135,
0.000351,206322.9038,
0.000352,206323.5402,
0.000353,206323.7893,
0.000354,206323.8976,
0.000355,206324.2613,
0.000356,206324.5201,
0.000357,206324.276,
0.000358,206324.6549,
0.000359,206324.8863,
0.00036,206324.4397,
0.000361,206324.6357,
0.000362,206325.1703,
0.000363,206325.4117,
0.000364,206325.5716,
0.000365,206325.5597,
0.000366,206325.1726,
0.000367,206325.6099,
0.000368,206325.5454,
0.000369,206325.2257,
0.00037,206326.1732,
0.000371,206326.2473,
0.000372,206326.1257,
0.000373,206326.2529,
0.000374,206326.3769,
0.000375,206326.313,
0.000376,206326.3402,
0.000377,206326.6201,
0.000378,206326.522,
0.000379,206326.3929,
0.00038,206326.8372,
0.000381,206326.7665,
0.000382,206327.6995,
0.000383,206327.2824,
0.000384,206327.1425,
0.000385,206327.0259,
0.000386,206327.2119,
0.000387,206327.2143,
0.000388,206327.6183,
0.000389,206327.3887,
0.00039,206328.0621,
0.000391,206327.7856,
0.000392,206327.8626,
0.000393,206327.9921,
0.000394,206327.9217,
0.000395,206328.1396,
0.000396,206328.0573,
0.000397,206328.4729,
0.000398,206328.2669,
0.000399,206328.4528,
0.0004,200484.1134,
0.000401,172836.0961,
0.000402,206266.6093,
0.000403,206294.7228,
0.000404,206300.6257,
0.000405,206300.2764,
0.000406,206299.8413,
0.000407,206300.2994,
0.000408,206301.7634,
0.000409,206302.069,
0.00041,206303.2906,
0.000411,206304.1242,
0.000412,206305.0621,
0.000413,206305.4043,
0.000414,206306.4869,
0.000415,206307.1326,
0.000416,206307.8513,
0.000417,206307.7369,
0.000418,206308.6021,
0.000419,206309.0901,
0.00042,206309.0917,
0.000421,206310.0789,
0.000422,206310.3864,
0.000423,206310.601,
0.000424,206310.8498,
0.000425,206311.3461,
0.000426,206311.345,
0.000427,206311.9543,
0.000428,206312.629,
0.000429,206312.9693,
0.00043,206313.126,
0.000431,206313.7359,
0.000432,206314.1219,
0.000433,206314.7965,
0.000434,206314.5828,
0.000435,206314.6419,
0.000436,206315.466,
0.000437,206315.3234,
0.000438,206316.1858,
0.000439,206316.5166,
0.00044,206316.2866,
0.000441,206316.9472,
0.000442,206317.2512,
0.000443,206317.1084,
0.000444,206317.1438,
0.000445,206317.8511,
0.000446,206317.8786,
0.000447,206317.9168,
0.000448,206318.5327,
0.000449,206318.4214,
0.00045,206318.7444,
0.000451,206319.2602,
0.000452,206319.4417,
0.000453,206319.8541,
0.000454,206319.6481,
0.000455,206319.9768,
0.000456,206320.2882,
0.000457,206320.5158,
0.000458,206320.5725,
0.000459,206320.9248,
0.00046,206320.9617,
0.000461,206321.0842,
0.000462,206321.5845,
0.000463,206321.3818,
0.000464,206321.2984,
0.000465,206321.5467,
0.000466,206321.6507,
0.000467,206321.99,
0.000468,206322.3447,
0.000469,206322.3972,
0.00047,206322.1071,
0.000471,206322.3513,
0.000472,206322.7456,
0.000473,206322.4968,
0.000474,206322.9344,
0.000475,206323.2385,
0.000476,206323.374,
0.000477,206323.0885,
0.000478,206323.5581,
0.000479,206323.4286,
0.00048,206323.6227,
0.000481,206323.619,
0.000482,206324.4934,
0.000483,206324.2046,
0.000484,206324.1129,
0.000485,206323.6365,
0.000486,206324.5639,
0.000487,206324.5389,
0.000488,206324.3982,
0.000489,206324.6207,
0.00049,206324.9407,
0.000491,206325.1418,
0.000492,206324.9422,
0.000493,206325.76,
0.000494,206325.1364,
0.000495,206325.2188,
0.000496,206325.3512,
0.000497,206325.3824,
0.000498,206325.4272,
0.000499,206325.4507,
0.0005,206325.9932,
0.000501,157051.4768,
0.000502,206245.7245,
0.000503,206276.5332,
0.000504,206288.6749,
0.000505,206290.4897,
0.000506,206291.0082,
0.000507,206290.7845,
0.000508,206291.9699,
0.000509,206292.9843,
0.00051,206293.5658,
0.000511,206295.0211,
0.000512,206296.3663,
0.000513,206297.6405,
0.000514,206298.0705,
0.000515,206299.1038,
0.000516,206299.8366,
0.000517,206300.9109,
0.000518,206301.0753,
0.000519,206301.841,
0.00052,206302.6862,
0.000521,206303.2593,
0.000522,206303.5961,
0.000523,206304.4057,
0.000524,206304.5189,
0.000525,206305.3063,
0.000526,206305.8671,
0.000527,206306.4435,
0.000528,206306.534,
0.000529,206307.0108,
0.00053,206307.487,
0.000531,206308.0519,
0.000532,206308.8657,
0.000533,206308.8843,
0.000534,206309.3537,
0.000535,206309.5401,
0.000536,206310.2008,
0.000537,206310.593,
0.000538,206311.2411,
0.000539,206311.3862,
0.00054,206312.0975,
0.000541,206312.0669,
0.000542,206312.3691,
0.000543,206312.8367,
0.000544,206313.2688,
0.000545,206313.3839,
0.000546,206313.7685,
0.000547,206314.1873,
0.000548,206314.8931,
0.000549,206315.1491,
0.00055,206315.1118,
0.000551,206314.9453,
0.000552,206315.3933,
0.000553,206315.5448,
0.000554,206315.7063,
0.000555,206315.9496,
0.000556,206316.4713,
0.000557,206316.7618,
0.000558,206316.7928,
0.000559,206317.5048,
0.00056,206317.0224,
0.000561,206317.5663,
0.000562,206317.7101,
0.000563,206317.9387,
0.000564,206317.6011,
0.000565,206317.8955,
0.000566,206318.4279,
0.000567,206318.6739,
0.000568,206318.8388,
0.000569,206319.2293,
0.00057,206319.205,
0.000571,206319.161,
0.000572,206319.3105,
0.000573,206319.3074,
0.000574,206320.1153,
0.000575,206320.1238,
0.000576,206320.2314,
0.000577,206320.6288,
0.000578,206320.1428,
0.000579,206320.4002,
0.00058,206321.0055,
0.000581,206320.8596,
0.000582,206321.0948,
0.000583,206321.2712,
0.000584,206321.6074,
0.000585,206321.3356,
0.000586,206321.5346,
0.000587,206321.7877,
0.000588,206321.9708,
0.000589,206322.0596,
0.00059,206321.8918,
0.000591,206322.4895,
0.000592,206322.3489,
0.000593,206322.696,
0.000594,206322.7684,
0.000595,206322.7745,
0.000596,206322.6961,
0.000597,206323.1161,
0.000598,206323.1913,
0.000599,206323.3185,
0.0006,206323.665,
0.000601,146691.2107,
0.000602,206248.0675,
0.000603,206260.6752,
0.000604,206279.4585,
0.000605,206284.7612,
0.000606,206285.7831,
0.000607,206285.1957,
0.000608,206286.1179,
0.000609,206287.3543,
0.00061,206288.2303,
0.000611,206290.1902,
0.000612,206291.0819,
0.000613,206292.4319,
0.000614,206293.313,
0.000615,206293.9642,
0.000616,206294.8513,
0.000617,206295.4045,
0.000618,206296.4333,
0.000619,206297.4491,
0.00062,206297.6713,
0.000621,206298.8231,
0.000622,206298.899,
0.000623,206300.3579,
0.000624,206300.737,
0.000625,206301.2651,
0.000626,206301.974,
0.000627,206302.6714,
0.000628,206302.7629,
0.000629,206303.8706,
0.00063,206304.3526,
0.000631,206304.7498,
0.000632,206305.7973,
0.000633,206305.2922,
0.000634,206306.2542,
0.000635,206306.4468,
0.000636,206307.2168,
0.000637,206307.5587,
0.000638,206307.7857,
0.000639,206308.878,
0.00064,206309.2603,
0.000641,206309.0666,
0.000642,206309.3756,
0.000643,206309.8327,
0.000644,206310.2266,
0.000645,206310.51,
0.000646,206311.1577,
0.000647,206311.3577,
